tract,DIABETES_CrudePrev,OBESITY_CrudePrev,CHD_CrudePrev,percent_uninsured,percent_no_car,access_constraint,poverty_rate,median_income,percent_no_hs,tract_str,fast_food_density,grocery_density,fast_food_ratio,no_grocery,dist_to_fast_food_km,dist_to_grocery_km,dist_scaled,no_car_scaled,raw_label,median_age,snap_rate,pct_under_18,pct_65_plus,pct_working_age
28.0,8.3,33.3,4.7,2.9,4.829903401931961,0.0337461589550186,5.9,89665.0,1.886284020479655,2800,0.7390591084501759,0.1847647771125439,2.6666666666666665,0,1.0843011437298395,1.3112776102985686,-0.1283845289947386,-0.2628522238563622,Census Tract 28; Lancaster County; Nebraska!!Estimate,41.1,7.01,20.19,22.01,57.8
29.0,9.0,35.6,4.6,4.7,3.2145352900069883,-0.1665425562510072,14.9,68603.0,4.190791287565481,2900,0.4525967332642047,0.2262983666321023,1.9130434782608696,0,2.888984272972567,2.2520172419354627,0.3296902419917846,-0.50514857596288,Census Tract 29; Lancaster County; Nebraska!!Estimate,28.8,9.78,17.34,9.17,73.49
30.02,11.5,38.5,6.4,9.5,3.4098360655737707,0.1952738779180796,15.0,52854.0,14.068780705672175,3002,1.5530672079457526,0.2218667439922503,4.666666666666667,0,0.8828174690627445,0.7321802852235215,-0.4103646493614004,-0.4758545313831496,Census Tract 30.02; Lancaster County; Nebraska!!Estimate,34.7,18.81,23.17,12.3,64.53
30.03,12.1,39.0,6.3,9.7,6.492890995260664,0.0068113398299065,17.3,57500.0,11.813096413293849,3003,0.6180658005511458,0.7416789606613751,0.7692307692307693,0,1.062190878344201,0.5320620697012539,-0.5078083018479971,-0.0134132108614983,Census Tract 30.03; Lancaster County; Nebraska!!Estimate,32.6,17.01,22.94,12.13,64.93
30.04,10.4,31.3,6.0,4.1,7.285622179239201,-0.0170972334605986,10.3,57702.0,5.560420315236427,3004,1.087448349632462,0.2718620874081155,2.6666666666666665,0,0.6950132919215415,1.242095929648476,-0.1620711957987219,0.1054921164512903,Census Tract 30.04; Lancaster County; Nebraska!!Estimate,42.1,2.66,15.87,26.05,58.08
30.05,11.6,34.9,6.1,1.0,1.098191214470284,-0.0797295838438793,19.4,74863.0,3.096774193548387,3005,0.1877082507207073,0.1877082507207073,0.6666666666666666,0,1.8595675834893544,1.7739920618939429,0.0969252265620645,-0.8225885733971,Census Tract 30.05; Lancaster County; Nebraska!!Estimate,32.1,14.5,24.53,16.79,58.68
31.02,7.1,32.8,3.6,4.6,3.4437663469921533,-0.0676966417024991,4.0,85994.0,2.4892440073755377,3102,0.2674602646616471,0.2005951984962353,1.1428571428571428,0,1.6522381843957707,1.87026057051955,0.143801294667283,-0.4707651753701571,Census Tract 31.02; Lancaster County; Nebraska!!Estimate,34.2,2.28,29.31,6.09,64.6
31.03,13.1,42.4,6.4,7.7,3.8377192982456143,0.0308756576880509,21.8,67698.0,21.61803713527852,3103,0.0,0.2845465483918538,0.0,0,1.5404101980980345,1.4209120343382702,-0.0750001896990281,-0.4116743945842455,Census Tract 31.03; Lancaster County; Nebraska!!Estimate,34.6,42.89,34.45,8.28,57.27
31.04,11.9,41.1,5.8,11.0,4.495372410753636,0.1433044157425973,14.5,58209.0,27.44025338324215,3104,0.0,0.3160776606255004,0.0,0,1.1766924922771036,0.6347680109986672,-0.457797651763121,-0.3130300367218737,Census Tract 31.04; Lancaster County; Nebraska!!Estimate,30.4,18.17,27.9,6.64,65.46
32.02,11.7,42.4,6.0,4.3,1.3623978201634876,-0.2427201106001879,19.0,67886.0,9.537407195888065,3202,0.0,0.0,0.0,1,2.412904272214233,2.211587130414128,0.3100035896458318,-0.7829590324340667,Census Tract 32.02; Lancaster County; Nebraska!!Estimate,29.3,12.76,33.22,7.68,59.1
33.01,8.9,34.6,4.9,3.7,4.15954415954416,0.053482184958605,18.0,63977.0,5.210693248753965,3301,0.4716278515777863,0.1886511406311145,2.0,0,1.1737920043239445,1.2726968302896544,-0.1471706855174673,-0.3634024314730625,Census Tract 33.01; Lancaster County; Nebraska!!Estimate,28.4,6.11,15.45,10.47,74.08
33.02,7.7,37.0,3.6,11.3,2.1114369501466275,-0.1357150043031046,7.8,104356.0,8.404051464549685,3302,0.1323355336694036,0.1323355336694036,0.8571428571428571,0,1.3652380518459684,1.990554924537453,0.2023762784508848,-0.6706072734509824,Census Tract 33.02; Lancaster County; Nebraska!!Estimate,29.6,3.39,28.88,3.39,67.73
34.01,9.2,38.4,4.5,7.2,1.5025906735751295,-0.3827150700838807,10.1,100132.0,17.61904761904762,3401,0.0,0.0583998133146466,0.0,0,2.482113885869035,2.6064951213393246,0.5022963148805971,-0.7619308737609541,Census Tract 34.01; Lancaster County; Nebraska!!Estimate,33.9,7.52,22.45,7.69,69.86
34.02,10.1,37.4,5.0,4.7,1.9867549668874167,0.2204915532542514,8.8,56651.0,9.150162948107294,3402,0.3658705665952766,0.2744029249464574,1.1428571428571428,0,1.2276251956174884,0.9180205513213656,-0.3198733651952173,-0.6893088867204883,Census Tract 34.02; Lancaster County; Nebraska!!Estimate,28.8,16.39,30.06,7.97,61.97
36.04,10.2,32.6,6.0,4.4,0.0,-0.6524782107465057,4.4,139596.0,4.088471849865952,3604,0.007765077519682,0.007765077519682,0.6666666666666666,0,5.304858931076954,2.932142131459216,0.6608637596512156,-0.987311229005604,Census Tract 36.04; Lancaster County; Nebraska!!Estimate,47.4,2.46,18.91,22.18,58.91
36.05,9.4,34.5,5.4,6.3,0.6501950585175552,0.3903694287055753,5.3,104390.0,3.0180345969819653,3605,0.5759799388709089,0.1919933129569696,2.4,0,0.7253273469600923,0.673941157572998,-0.4387230539228716,-0.889785538314116,Census Tract 36.05; Lancaster County; Nebraska!!Estimate,39.6,4.8,20.65,17.99,61.36
36.07,7.3,32.7,3.6,3.7,1.3367609254498714,0.2644116674324847,8.8,102708.0,0.4713804713804713,3607,2.0978073097810275,0.7866777411678852,2.2857142857142856,0,0.9241863514690162,0.8847831319243551,-0.3360576767373777,-0.7868044259530993,Census Tract 36.07; Lancaster County; Nebraska!!Estimate,32.8,5.58,24.96,9.06,65.98
36.08,8.3,32.9,4.8,5.1,7.348703170028818,-0.0272644397626325,4.4,85658.0,3.510531594784353,3608,0.13141085941904,0.0,2.0,1,0.9912892295477562,1.0878522847922223,-0.2371771230048655,0.1149539188991393,Census Tract 36.08; Lancaster County; Nebraska!!Estimate,33.9,5.48,15.53,16.02,68.45
36.09,10.2,31.4,6.4,2.6,7.129455909943714,-0.0032258437791779,7.5,146786.0,3.816793893129771,3609,0.7673566158205356,0.0,8.0,1,1.335320246594651,1.4942145837203429,-0.0393069464341567,0.0820680330531787,Census Tract 36.09; Lancaster County; Nebraska!!Estimate,48.2,0.48,21.28,26.37,52.35
37.04,8.0,35.2,4.3,4.9,5.566218809980806,0.0574858427028749,20.7,53860.0,6.486329261198372,3704,0.8693324783462923,0.4346662391731462,1.6,0,0.8165106285740036,0.800327833169968,-0.3771815332588669,-0.1524089533392434,Census Tract 37.04; Lancaster County; Nebraska!!Estimate,29.3,4.69,28.05,8.04,63.91
37.08,10.5,31.5,6.9,3.7,6.879194630872483,-0.0157777241851347,8.3,87214.0,0.819672131147541,3708,0.6484928334254623,0.8646571112339497,0.6666666666666666,0,1.256114102095306,0.847288350908418,-0.3543150272831178,0.0445302145554425,Census Tract 37.08; Lancaster County; Nebraska!!Estimate,43.4,1.31,16.88,27.02,56.1
